datetime,open,high,low,close,vol,amount,ma5,ma10
2017/10/26 14:05,8.41,8.41,8.4,8.41,875,735800,8.414,8.416666667
2017/10/26 14:06,8.41,8.41,8.4,8.41,384,323000,8.414,8.413333333
2017/10/26 14:07,8.41,8.42,8.41,8.42,189,159000,8.414,8.412222222
2017/10/26 14:08,8.42,8.42,8.42,8.42,415,349500,8.414,8.412222222
2017/10/26 14:09,8.42,8.43,8.42,8.43,110,92700,8.414,8.414444444
2017/10/26 14:10,8.43,8.44,8.43,8.44,308,259800,8.418,8.416666667
2017/10/26 14:11,8.44,8.45,8.44,8.45,220,185900,8.424,8.42
2017/10/26 14:12,8.45,8.45,8.44,8.45,541,457100,8.432,8.423333333
2017/10/26 14:13,8.45,8.45,8.45,8.45,754,636500,8.438,8.426666667
2017/10/26 14:14,8.45,8.46,8.44,8.45,101,85300,8.444,8.431111111
2017/10/26 14:15,8.44,8.44,8.44,8.44,55,46400,8.446,8.434444444
2017/10/26 14:16,8.44,8.44,8.44,8.44,105,88700,8.446,8.437777778
2017/10/26 14:17,8.44,8.44,8.43,8.43,287,242000,8.444,8.44
2017/10/26 14:18,8.43,8.43,8.42,8.43,112,94400,8.44,8.441111111
2017/10/26 14:19,8.43,8.44,8.43,8.44,150,126500,8.436,8.441111111
2017/10/26 14:20,8.43,8.43,8.43,8.43,25,21100,8.434,8.44
2017/10/26 14:21,8.43,8.43,8.4,8.41,878,738900,8.432,8.437777778
2017/10/26 14:22,8.41,8.41,8.4,8.41,508,427100,8.426,8.433333333
2017/10/26 14:23,8.41,8.41,8.41,8.41,370,311200,8.422,8.428888889
2017/10/26 14:24,8.41,8.43,8.41,8.43,173,146100,8.418,8.425555556
2017/10/26 14:25,8.44,8.44,8.43,8.43,37,31200,8.42,8.425555556
2017/10/26 14:26,8.43,8.43,8.42,8.42,240,202100,8.42,8.424444444
2017/10/26 14:27,8.42,8.43,8.41,8.41,272,229000,8.422,8.423333333
2017/10/26 14:28,8.41,8.42,8.41,8.42,387,325700,8.422,8.421111111
2017/10/26 14:29,8.42,8.42,8.42,8.42,203,171000,8.424,8.42
2017/10/26 14:30,8.42,8.43,8.42,8.43,125,105200,8.42,8.418888889
2017/10/26 14:31,8.42,8.43,8.42,8.42,176,148300,8.418,8.42
2017/10/26 14:32,8.42,8.43,8.42,8.43,68,57300,8.418,8.421111111
2017/10/26 14:33,8.43,8.43,8.42,8.43,337,284100,8.422,8.423333333
2017/10/26 14:34,8.43,8.43,8.43,8.43,272,229300,8.424,8.422222222
2017/10/26 14:35,8.43,8.43,8.42,8.42,158,133100,8.426,8.422222222
2017/10/26 14:36,8.42,8.42,8.42,8.42,48,40400,8.426,8.422222222
2017/10/26 14:37,8.42,8.43,8.42,8.42,124,104500,8.426,8.423333333
2017/10/26 14:38,8.42,8.42,8.42,8.42,244,205400,8.424,8.423333333
2017/10/26 14:39,8.42,8.42,8.41,8.41,481,404800,8.422,8.423333333
2017/10/26 14:40,8.41,8.41,8.41,8.41,237,199400,8.418,8.422222222
2017/10/26 14:41,8.41,8.41,8.4,8.41,504,423800,8.416,8.421111111
2017/10/26 14:42,8.42,8.42,8.4,8.41,205,172000,8.416,8.42
2017/10/26 14:43,8.41,8.41,8.4,8.41,516,434100,8.414,8.417777778
2017/10/26 14:44,8.41,8.42,8.41,8.41,69,58000,8.412,8.415555556
2017/10/26 14:45,8.41,8.41,8.4,8.41,485,407300,8.412,8.414444444
2017/10/26 14:46,8.41,8.42,8.4,8.42,402,338300,8.412,8.413333333
2017/10/26 14:47,8.42,8.42,8.41,8.41,193,162300,8.412,8.413333333
2017/10/26 14:48,8.42,8.42,8.41,8.41,287,241500,8.414,8.413333333
2017/10/26 14:49,8.42,8.42,8.41,8.42,390,328300,8.416,8.414444444
2017/10/26 14:50,8.43,8.45,8.43,8.44,465,392100,8.42,8.416666667
2017/10/26 14:51,8.45,8.45,8.44,8.44,124,104800,8.428,8.42
2017/10/26 14:52,8.44,8.45,8.44,8.45,833,703700,8.432,8.423333333
2017/10/26 14:53,8.45,8.47,8.45,8.46,647,546900,8.438,8.427777778
2017/10/26 14:54,8.46,8.47,8.45,8.47,747,632200,8.446,8.433333333
2017/10/26 14:55,8.48,8.48,8.47,8.48,413,350100,8.456,8.441111111
2017/10/26 14:56,8.48,8.49,8.47,8.48,594,503700,8.462,8.447777778
2017/10/26 14:57,8.48,8.49,8.47,8.48,791,670800,8.47,8.454444444
2017/10/26 14:58,8.48,8.48,8.48,8.48,0,0,8.476,8.461111111
2017/10/26 14:59,8.48,8.48,8.48,8.48,0,0,8.48,8.466666667
2017/10/26 15:00,8.48,8.48,8.48,8.48,801,679300,8.48,8.47
2017/10/27 9:31,8.46,8.46,8.43,8.43,146,123300,8.476,8.472222222
2017/10/27 9:32,8.43,8.43,8.42,8.42,136,114600,8.466,8.47
2017/10/27 9:33,8.41,8.45,8.41,8.45,185,156000,8.452,8.464444444
2017/10/27 9:34,8.45,8.45,8.45,8.45,129,109000,8.446,8.461111111
